,season_teams_count,position_class_team_1,position_class_team_2,diff_points_class,team_1_xg90_performance,team_2_xg90_performance,team_1_xga90_performance,team_2_xga90_performance,team_1_tsr_avg,team_2_tsr_avg,team1_all_classic_xgsh,team1_all_classic_xgash,team1_all_classic_gdxgd,team1_all_classic_wins,team1_all_classic_draw,team1_all_classic_defeat,team1_all_xg90_draw_xgxga,team1_all_xg90_zero_xgxga,team1_all_xg90_com_xgxga,team2_all_classic_xgd,team2_all_classic_gdxgd,team2_all_classic_xp,team2_all_classic_minutes,team2_all_xg90_draw_xga90,team2_all_xg90_draw_xgxga,team2_all_xg90_cxp_xg90,team2_all_xg90_cop_xg90,team2_all_five_draw_xg90,team_1_points_difference4,team_2_points_difference4,team_1_xg90_performance_diff4,team_2_xg90_performance_diff4,team_1_xga90_performance_diff4,team_2_xga90_performance_diff4,team_1_lucky_l4,team_2_lucky_l4,odds_open_win1,odds_open_draw,odds_open_win2,odds_open_tm25,odds_open_tb25,odds_close_win1,odds_close_draw,odds_close_win2,odds_close_tm25,odds_close_tb25,result_output
,18,A,E,D1,16.179.053,6.725.806,910.069,5.910.828,61.388.817,542.979,0.12,0.12,2.5,7,4,1,1.5,1.38,1.08,1.4,-0.4,0,1142,0.49,1.29,0,0.48,0.21,20.000.004,-80,-25.949.433,-25.179.834,11.654.065,-43.103.447,28.522.778,-12.823.905,1.48,3.9,5.74,1.719,2,1.653,3.76,5.33,1.617,2.31,1
,18,D,B,A2,89.875.513,14.182.799,66.436.136,8.357.724,37.519.222,48.639.442,0.11,0.09,4.9,5,4,3,1.14,1.12,2.17,1.8,6.2,0,1159,0.79,1.13,0.82,0.3,0.94,10.526.313,-45.454.548,46.537.403,20.448.881,37.986.084,42.071.213,5.566.764,-44.342.554,2.23,2.88,3.24,1.529,2.29,2.86,2.88,2.77,1.507,2.52,2
,18,E,G,B1,10.594.989,8.554.496,11.381.207,1.377.592,48.844.086,46.876.926,0.11,0.1,-1.1,4,3,5,0.7,1.02,1.54,-3.4,-3.6,0,1142,1.24,0.4,0.34,1.21,0.48,40,-70,-24.597.696,26.858.738,-7.381.426,28.040.773,30.585.325,-30.096.006,2.03,3.12,3.43,1.699,2.02,1.8,3.3,5.03,1.719,2.13,1
,18,D,F,B1,7.648.054,70.987.356,6.810.671,12.644.781,53.387.535,42.931.553,0.1,0.1,0.8,4,6,2,2.43,2.6,197.33,-8.5,1.5,0,1135,0.87,0.91,0.11,0.23,0.85,-16.666.668,15.384.611,-11.061.931,-108.941.345,5.451.394,-2.486.598,43.954.372,3.409.729,2.55,2.87,2.75,1.526,2.3,2.32,2.96,3.46,1.473,2.61,0
,18,G,F,A2,7.796.045,10.621.544,1.488.031,10.671.784,4.225.952,39.947.563,0.13,0.1,-8.8,2,5,5,0.65,0.94,1.96,-2.5,2.5,0,1151,0.8,0.71,0.49,2.51,0.5,63.636.364,28.571.432,15.368.711,-26.967.912,-28.294.039,21.379.734,53.450.406,74.670.243,2.04,3.11,3.58,1.649,2.14,2.27,3.22,3.27,1.671,2.2,2
,18,F,H,B1,68.708.885,5.379.578,12.765.329,1.563.774,51.281.685,478.805,0.1,0.11,-6.9,3,2,7,0.88,0.92,1.99,-4.7,-8.3,0,1139,1.26,0.46,0,0.1,0.45,-7.272.727,0,-16.517.061,10.347.824,2.108.936,-1.396.648,-35.544.264,-23.348.868,1.781,3.23,4.27,1.649,2.1,2.05,3.24,3.82,1.657,2.23,1
,18,D,C,A2,12.167.232,15.342.882,9.084.591,11.362.567,55.000.294,51.918.514,0.1,0.1,2.9,4,5,3,0.84,0.96,4.21,3.6,1.4,0,1140,0.74,1.63,1.1,0.78,0.57,41.176.476,-526.316,34.843.975,-1.980.198,-42.022.614,-28.535.473,7.163.075,-23.960.549,2.9,3.02,2.33,1.694,2.04,2.64,2.98,2.91,1.628,2.28,2
,27,B,D,D1,20.081.425,15.479.968,9.401.686,13.807.795,5.866.706,5.037.483,0.15,0.12,7.5,18,7,7,1.21,1.08,2.66,3.4,2.6,0,3178,1.28,0.87,1.28,0.69,1.29,-8.196.721,7.608.697,-12.880.884,-18.357.485,34.450.768,20.745.556,12.573.179,-72.134.316,1.518,4.15,4.84,2.22,1.564,1.632,4.44,4.54,2.56,1.483,2
,37,G,E,C2,10.276.934,8.810.799,12.862.352,10.363.272,41.117.203,4.953.925,0.1,0.1,-2.4,6,14,15,0.78,0.63,1.47,-6.2,0.2,0,3356,0.92,0.83,0.35,1.04,0.47,640.625,9.207.317,83.204.155,33.063.263,-5.048.221,-10.066.737,-69.377.226,9.302.006,2.09,3.1,4.08,1.512,2.58,2.36,2.98,3.5,1.625,2.32,1
,37,H,F,D2,68.258.274,80.341.494,14.828.864,11.320.668,44.099.648,42.151.688,0.08,0.11,-11.1,5,11,19,0.7,0.53,0.98,-13.5,8.5,0,3262,0.71,1.04,0.24,0.72,0.74,-3.269.231,-32.692.307,6.041.214,35.747.982,-21.905.046,-22.675.968,-5.429.948,-43.695.772,2.63,2.89,3.15,1.446,2.77,3.8,2.83,2.34,1.416,2.88,1
